iter	Passed	Remaining
439	1266	1612
440	1269	1609
441	1272	1605
442	1275	1603
443	1278	1601
444	1282	1599
445	1285	1596
446	1288	1594
447	1291	1591
448	1294	1588
449	1297	1585
450	1299	1582
451	1302	1578
452	1305	1576
453	1308	1573
454	1311	1570
455	1314	1567
456	1317	1564
457	1320	1562
458	1322	1559
459	1325	1556
460	1327	1552
461	1330	1549
462	1333	1546
463	1336	1543
464	1339	1540
465	1342	1537
466	1345	1536
467	1349	1533
468	1352	1530
469	1355	1528
470	1358	1525
471	1361	1523
472	1364	1520
473	1367	1517
474	1369	1513
475	1372	1510
476	1375	1507
477	1377	1504
478	1381	1502
479	1383	1498
480	1386	1496
481	1389	1493
482	1393	1491
483	1395	1488
484	1399	1485
485	1402	1482
486	1404	1479
487	1407	1476
488	1411	1474
489	1414	1471
490	1418	1470
491	1422	1468
492	1425	1465
493	1428	1463
494	1431	1460
495	1434	1457
496	1437	1454
497	1440	1451
498	1443	1449
499	1446	1446
500	1449	1443
501	1452	1440
502	1455	1438
503	1458	1435
504	1461	1432
505	1464	1429
506	1468	1427
507	1471	1425
508	1474	1422
509	1478	1420
510	1482	1418
511	1485	1415
512	1488	1412
513	1490	1409
514	1493	1406
515	1496	1403
516	1499	1400
517	1502	1398
518	1505	1395
519	1508	1392
520	1511	1390
521	1515	1387
522	1517	1384
523	1520	1381
524	1523	1378
525	1526	1375
526	1529	1372
527	1531	1369
528	1534	1366
529	1537	1363
530	1540	1360
531	1543	1357
532	1546	1354
533	1549	1351
534	1551	1348
535	1554	1345
536	1557	1342
537	1560	1339
538	1563	1336
539	1566	1334
540	1569	1331
541	1573	1329
542	1576	1326
543	1579	1323
544	1582	1321
545	1585	1318
546	1589	1316
547	1592	1313
548	1595	1310
549	1598	1307
550	1602	1306
551	1606	1303
552	1609	1301
553	1612	1298
554	1615	1295
555	1618	1292
556	1620	1289
557	1623	1285
558	1625	1282
559	1628	1279
560	1630	1276
561	1633	1273
562	1636	1269
563	1639	1267
564	1641	1263
565	1644	1260
566	1646	1257
567	1649	1254
568	1652	1251
569	1655	1248
570	1658	1245
571	1661	1242
572	1663	1239
573	1666	1236
574	1669	1234
575	1672	1231
576	1676	1229
577	1679	1226
578	1682	1223
579	1685	1220
580	1688	1217
581	1691	1214
582	1694	1212
583	1697	1209
584	1701	1206
585	1703	1203
586	1707	1201
587	1710	1198
588	1714	1196
589	1717	1193
590	1720	1190
591	1723	1187
592	1726	1185
593	1730	1182
594	1733	1179
595	1736	1177
596	1740	1174
597	1743	1172
598	1747	1169
599	1750	1166
600	1753	1164
601	1756	1161
602	1760	1159
603	1763	1156
604	1769	1155
605	1773	1152
606	1776	1150
607	1780	1147
608	1783	1145
609	1787	1142
610	1791	1140
611	1794	1137
612	1797	1134
613	1800	1131
614	1803	1128
615	1806	1125
616	1809	1123
617	1812	1120
618	1816	1117
619	1818	1114
620	1821	1111
621	1824	1108
622	1827	1106
623	1830	1103
624	1833	1100
625	1836	1097
626	1839	1094
627	1842	1091
628	1845	1088
629	1848	1085
630	1852	1083
631	1854	1080
632	1857	1077
633	1861	1074
634	1864	1071
635	1867	1069
636	1871	1066
637	1875	1063
638	1878	1061
639	1881	1058
640	1885	1055
641	1888	1053
642	1891	1050
643	1894	1047
644	1898	1044
645	1901	1041
646	1904	1038
647	1907	1036
648	1910	1033
649	1915	1031
650	1919	1028
651	1922	1026
652	1928	1024
653	1932	1022
654	1936	1020
655	1940	1017
656	1943	1014
657	1947	1012
658	1951	1009
659	1954	1007
660	1958	1004
661	1961	1001
662	1965	999
663	1969	996
664	1972	993
665	1976	991
666	1979	988
667	1982	985
668	1984	982
669	1988	979
670	1992	977
671	1996	974
672	2000	971
673	2003	968
674	2007	966
675	2011	964
676	2015	961
677	2019	959
678	2022	956
679	2026	953
680	2030	951
681	2033	948
682	2037	945
683	2040	942
684	2044	939
685	2047	937
686	2051	934
687	2056	932
688	2059	929
689	2063	926
690	2066	924
691	2069	921
692	2073	918
693	2076	915
694	2081	913
695	2084	910
696	2087	907
697	2090	904
698	2093	901
699	2096	898
700	2099	895
701	2102	892
702	2105	889
703	2110	887
704	2115	885
705	2119	882
706	2127	881
707	2134	880
708	2138	877
709	2145	876
710	2149	873
711	2154	871
712	2157	868
713	2160	865
714	2165	863
715	2170	861
716	2178	859
717	2182	857
718	2185	854
719	2191	852
720	2195	849
721	2199	846
722	2204	844
723	2209	842
724	2212	839
725	2216	836
726	2221	834
727	2227	832
728	2230	829
729	2234	826
730	2238	823
731	2241	820
732	2245	817
733	2248	814
734	2252	812
735	2256	809
736	2259	806
737	2265	804
738	2269	801
739	2272	798
740	2277	795
741	2281	793
742	2288	791
743	2292	788
744	2296	785
745	2299	782
746	2302	779
747	2306	777
